title,exercise_path,url,target_muscles,synergist_muscles,stabilizer_muscles,description,equipment
60° Incline Bench Press (Dumbbells),/exercise/1464,https://app.strength.muscleandmotion.com/exercise/1464,Deltoid,"Pectoralis Major, Clavicular Head; Triceps Brachii; Serratus Anterior; Trapezius",Abdominal Muscles,"The 60° Incline Dumbbell Press targets the anterior deltoid and upper pectoralis major, with muscle emphasis depending on bench angle: 60° engages the anterior deltoid more, while 30° better targets the upper chest. Sit on a 60° incline bench with a dumbbell in each hand. Start with the dumbbells above your shoulders, arms extended, and palms facing forward. Lower the weights slowly to the sides of your upper chest, keeping your elbows slightly angled downward and out. Press the dumbbells back up until your arms are fully extended, and repeat for the desired repetition",Bench; Dumbbell
90/90 Hip Rotation,/exercise/1442,https://app.strength.muscleandmotion.com/exercise/1442,Gluteus Maximus; Gluteus Medius; Hip Adductor Muscles; Hip External Rotators (Deep Layer); Gluteus Minimus,,,"Start by sitting on the floor with your legs bent at a 90-degree angle in front of you, creating a ""Z"" shape with your knees and hips. Simultaneously rotate one hip outward (external rotation) and the other hip inward (internal rotation). Press your knees firmly into the ground and engage your core muscles to maintain stability. Hold the position briefly, breathing deeply, then reverse the movement to rotate to the opposite side. Perform several repetitions on each side, focusing on smooth and controlled movements.",
90/90 Hip Rotations with Hand Support,/exercise/1441,https://app.strength.muscleandmotion.com/exercise/1441,Gluteus Medius; Hip Adductor Muscles; Hip External Rotators (Deep Layer); Gluteus Maximus,,,"Sit on the floor with your legs bent at 90 degrees, forming a ""Z"" shape. Place your hands behind you for support. To start, slowly externally rotate one hip while pressing the opposite knee into the floor. Engage your core as you lift the other hip off the ground. Reverse and repeat on the other side. Perform several reps with smooth, controlled movements.",
Abdominal and Hip Flexors Stretch,/exercise/6,https://app.strength.muscleandmotion.com/exercise/6,,,,Lie prone on the floor. Flex your knees and reach back with your arms and hold your feet. Lift your chest up from the floor while simultaneously lifting your thighs up.,
Abdominal Bracing,/exercise/632,https://app.strength.muscleandmotion.com/exercise/632,,,,"Basically, in bracing we tighten all the muscles surrounding the abdomen as we contract the abdominal muscles the erector spinae muscles immediately go into joint action and support the back from the rear. The trainee stands steady with arms straight out in front. His aim is to keep his arms in the same place. The instructor will push his arms to the sides, In all the exercises presented here, the aim is to maintain stability of the torso, to maintain the spine as in a NEUTRAL standing position, to this end, we will contract all the abdominal muscles without leaving the neutral position, and in this way, we will learn how to create a natural belt/girdle.",
Abdominal Crunches (Bodyweight),/exercise/7,https://app.strength.muscleandmotion.com/exercise/7,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis,"Lie on your back with your knees bent and place your hands behind your head. Slowly lift your head, neck, and shoulder blades off the ground. Exhale as you crunch up and squeeze your abdominal muscles, Lower yourself back down to the starting position with control and repeat for the required number of repetitions.",Bodyweight
Abdominal Crunches (Machine),/exercise/9,https://app.strength.muscleandmotion.com/exercise/9,Rectus Abdominis,External Oblique; Internal Oblique; Psoas Major; Iliacus,Transversus Abdominis; Pelvic Diaphragm,"The Machine Seated Crunch targets the rectus abdominis, allowing you to add resistance and effectively overload the abs while minimizing compensation from other muscles. Sit on the machine with your back against the pad and feet secured. Hold the handles and rest your elbows on the pads. Engage your core and bring your ribcage toward your pelvis. Pause briefly at the bottom, then return to the starting position without arching your back.",Machine
Abdominal Crunches (Resistance Band),/exercise/10,https://app.strength.muscleandmotion.com/exercise/10,Rectus Abdominis,External Oblique; Internal Oblique,Pelvic Diaphragm; Transversus Abdominis,"Lie back-down on a bench and hold a resistance band behind your neck. Slowly lift your head, neck, and shoulder blades off the bench. Exhale as you crunch up and squeeze your abdominal muscles, Lower yourself back down to the starting position with control and repeat for the required number of repetitions.",Bench; Resistance Band
Abdominal Crunches (Stability Ball),/exercise/800,https://app.strength.muscleandmotion.com/exercise/800,Rectus Abdominis,External Oblique; Internal Oblique; Transversus Abdominis,Latissimus Dorsi (Respiration); Sternocleidomastoid (Respiration); Diaphragm; Pelvic Diaphragm,"Lie on your back with your feet flat on the floor, knees bent, hands on the ball. Push the ball up to your legs, lifting your upper back (spinal flexion). Then, return to starting position. Pressing the ball increases the load on the abdominal muscles.",Stability Ball
Abdominal Crunches (Weight Plate),/exercise/8,https://app.strength.muscleandmotion.com/exercise/8,Rectus Abdominis,Internal Oblique; External Oblique,Pelvic Diaphragm; Transversus Abdominis; Iliacus,"Hold a weight plate behind your head while lying on your back with your knees bent and feet flat on the floor. Slowly lift your head, neck, and shoulder blades off the ground, keeping the weight plate stable behind your head. Lower yourself back down to the starting position with control, and repeat for the desired number of repetitions.",
