muscle,url,muscle_group,svg_muscle_group,broad_muscle_group
Abdominal Muscles,https://app.strength.muscleandmotion.com/submuscle/13,,22,abs
Abductor Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.3,,,
Abductor Digiti Minimi (1),https://app.strength.muscleandmotion.com/submuscle/59.1,Sole of Foot (1st Plantar Layer),,
Abductor Halluci (3),https://app.strength.muscleandmotion.com/submuscle/59.3,Sole of Foot (1st Plantar Layer),,
Abductor Pollicis Brevis (1),https://app.strength.muscleandmotion.com/submuscle/57.1,Intrinsic Muscles of the Thumb,,
Abductor Pollicis Longus (1),https://app.strength.muscleandmotion.com/submuscle/56.1,Extrinsic Muscles of the Thumb,,
Adductor Brevis,https://app.strength.muscleandmotion.com/submuscle/6.3,Hip Adductor Muscles,1,quadriceps
Adductor Hallucis (2),https://app.strength.muscleandmotion.com/submuscle/61.2,Sole of Foot (3rd Plantar Layer),,
Adductor Longus,https://app.strength.muscleandmotion.com/submuscle/6.4,Hip Adductor Muscles,1,quadriceps
Adductor Magnus,https://app.strength.muscleandmotion.com/submuscle/6.1,Hip Adductor Muscles,2,quadriceps
Adductor Pollicis (4),https://app.strength.muscleandmotion.com/submuscle/57.4,Intrinsic Muscles of the Thumb,,
Anconeus,https://app.strength.muscleandmotion.com/submuscle/29,,34,triceps
Anterior Deltoid,https://app.strength.muscleandmotion.com/submuscle/3.1,,7,shoulders
Anterior Scalene,https://app.strength.muscleandmotion.com/submuscle/71.1,,29,upper_back
Articularis Genu,https://app.strength.muscleandmotion.com/submuscle/99,,23,quadriceps
Biceps Brachii,https://app.strength.muscleandmotion.com/submuscle/30,,3,biceps
"Biceps Brachii, long head",https://app.strength.muscleandmotion.com/submuscle/30.2,,3,biceps
"Biceps Brachii, short head",https://app.strength.muscleandmotion.com/submuscle/30.1,,3,biceps
Biceps Femoris Long Head (Hamstring) (4),https://app.strength.muscleandmotion.com/submuscle/33.4,Hamstrings,4,hamstrings
Biceps Femoris Short Head (Hamstring) (3),https://app.strength.muscleandmotion.com/submuscle/33.3,Hamstrings,4,hamstrings
Brachialis,https://app.strength.muscleandmotion.com/submuscle/31,,5,biceps
Brachioradialis,https://app.strength.muscleandmotion.com/submuscle/15,,6,
Buccinator (10),https://app.strength.muscleandmotion.com/submuscle/80.11,,,
Coccygeus,https://app.strength.muscleandmotion.com/submuscle/82.1,,,
Coracobrachialis,https://app.strength.muscleandmotion.com/submuscle/32,,5,biceps
Corrugator Supercilii (2),https://app.strength.muscleandmotion.com/submuscle/80.2,Muscles of Facial Expression,,
Deep Layer,https://app.strength.muscleandmotion.com/submuscle/78.2,,,
Deltoid,https://app.strength.muscleandmotion.com/submuscle/3,,7,shoulders
Depressor Anguli Oris (13),https://app.strength.muscleandmotion.com/submuscle/80.14,,,
Depressor Labii Inferioris (14),https://app.strength.muscleandmotion.com/submuscle/80.15,,,
Diaphragm,https://app.strength.muscleandmotion.com/submuscle/63,,,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.5,,,
Diaphragm Muscle (Respiration),https://app.strength.muscleandmotion.com/submuscle/67.3,,,
Digastric,https://app.strength.muscleandmotion.com/submuscle/77.3,,19,upper_back
Dorsal Interossei (2),https://app.strength.muscleandmotion.com/submuscle/62.2,Sole of Foot (4th Plantar Layer),,
Dorsal Interossei of the Hand,https://app.strength.muscleandmotion.com/submuscle/85.1,,,
Erector Spinae,https://app.strength.muscleandmotion.com/submuscle/21,,32,lower_back
Erector Spinae Thoracic (Respiration),https://app.strength.muscleandmotion.com/submuscle/81.11,Erector Spinae,32,lower_back
Extensor Carpi Radialis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/4.3,Wrist Extensors,8,
Extensor Carpi Radialis Longus,https://app.strength.muscleandmotion.com/submuscle/84.1,,8,
Extensor Carpi Radialis Longus (2),https://app.strength.muscleandmotion.com/submuscle/4.2,Wrist Extensors,8,
Extensor Carpi Ulnaris,https://app.strength.muscleandmotion.com/submuscle/86.1,,8,
Extensor Carpi Ulnaris (4),https://app.strength.muscleandmotion.com/submuscle/4.4,Wrist Extensors,8,
Extensor Digiti Minimi (6),https://app.strength.muscleandmotion.com/submuscle/4.6,Wrist Extensors,8,biceps
Extensor Digitorum (1),https://app.strength.muscleandmotion.com/submuscle/4.1,Wrist Extensors,8,biceps
Extensor Digitorum Brevis,https://app.strength.muscleandmotion.com/submuscle/97,,,
Extensor Digitorum Longus,https://app.strength.muscleandmotion.com/submuscle/35,,,
Extensor Hallucis Brevis,https://app.strength.muscleandmotion.com/submuscle/98,,,
Extensor Hallucis Longus,https://app.strength.muscleandmotion.com/submuscle/36,,,
Extensor Indicis (5),https://app.strength.muscleandmotion.com/submuscle/4.5,Wrist Extensors,8,biceps
Extensor Pollicis Brevis (3),https://app.strength.muscleandmotion.com/submuscle/56.3,Extrinsic Muscles of the Thumb,,
Extensor Pollicis Longus (2),https://app.strength.muscleandmotion.com/submuscle/56.2,Extrinsic Muscles of the Thumb,,
External Intercostal,https://app.strength.muscleandmotion.com/submuscle/66.1,,27,chest
External Oblique,https://app.strength.muscleandmotion.com/submuscle/13.3,,9,abs
Extrinsic Muscles of the Thumb,https://app.strength.muscleandmotion.com/submuscle/56,,8,biceps
Flexor Carpi Radialis (3),https://app.strength.muscleandmotion.com/submuscle/14.3,Wrist Flexors,10,
Flexor Carpi Ulnaris (5),https://app.strength.muscleandmotion.com/submuscle/14.5,Wrist Flexors,11,
Flexor Digiti Minimi,https://app.strength.muscleandmotion.com/submuscle/68.2,,11,biceps
Flexor Digiti Minimi Brevis (3),https://app.strength.muscleandmotion.com/submuscle/61.3,Sole of Foot (3rd Plantar Layer),,
Flexor Digitorum Brevis (2),https://app.strength.muscleandmotion.com/submuscle/59.2,Sole of Foot (1st Plantar Layer),,
Flexor Digitorum Longus,https://app.strength.muscleandmotion.com/submuscle/37,,,
Flexor Digitorum Profundus (1),https://app.strength.muscleandmotion.com/submuscle/14.1,Wrist Flexors,10,biceps
Flexor Digitorum Superficialis (2),https://app.strength.muscleandmotion.com/submuscle/14.2,Wrist Flexors,10,biceps
Flexor Hallucis Brevis (1),https://app.strength.muscleandmotion.com/submuscle/61.1,Sole of Foot (3rd Plantar Layer),,
Flexor Hallucis Longus,https://app.strength.muscleandmotion.com/submuscle/38,,,
