muscle,muscle_group,svg_muscle_group,broad_muscle_group,broader_muscle_group
Abdominal Muscles,,rectus_abdominis,abs,core
Adductor Brevis,,adductor_longus_and_pectineus,hamstrings,legs
Adductor Longus,,adductor_longus_and_pectineus,hamstrings,legs
Adductor Magnus,,adductor_magnus,hamstrings,legs
Anconeus,Posterior Compartment Forearm (Superficial),triceps_brachii,,arms
Anterior Deltoid,,deltoids,shoulders,shoulders
Anterior Scalene,,sternocleidomastoid,,core
Biceps Brachii,,biceps_brachii,biceps,arms
Biceps Brachii (Long Head),Upper Arm (Anterior),biceps_brachii,biceps,arms
Biceps Brachii (Short Head),Upper Arm (Anterior),biceps_brachii,biceps,arms
Biceps Femoris,,biceps_femoris,hamstrings,legs
Biceps Femoris (Long Head),Upper Thigh (Posterior),biceps_femoris,hamstrings,legs
Biceps Femoris (Short Head),Upper Thigh (Posterior),biceps_femoris,hamstrings,legs
Brachialis,,brachialis,biceps,arms
Brachioradialis,,brachioradialis,biceps,arms
Calf,,gastrocnemius,calves,legs
Chest,,pectoralis_major,chest,chest
Chest (Lower),,pectoralis_major,chest,chest
Coracobrachialis,Upper Arm (Anterior),biceps_brachii,biceps,arms
Deep Head,Upper Thigh (Anterior),rectus_femoris,quadriceps,legs
Deltoids,,deltoids,shoulders,shoulders
Erector Spinae (1),,erector_spinae,lower_back,back
Erector Spinae (2),Deep Back Muscles (Intermediate),erector_spinae,lower_back,back
External Oblique,,external_obliques,abs,core
Extensor Carpi Radialis Brevis,Posterior Compartment Forearm (Superficial),extensor_carpi_radialis,,arms
Extensor Carpi Radialis Longus,Posterior Compartment Forearm (Superficial),extensor_carpi_radialis,,arms
Extensor Carpi Ulnaris,Posterior Compartment Forearm (Superficial),extensor_carpi_radialis,,arms
Extensor Digitorum,Posterior Compartment Forearm (Superficial),extensor_carpi_radialis,,arms
Extensor Digitorum Longus,Anterior Compartment Lower Leg,peroneus_longus,calves,legs
External Rotators,,gluteus_medius,glutes,legs
Fibularis Brevis,Lateral Compartment Lower Leg,peroneus_longus,calves,legs
Fibularis Longus,Lateral Compartment Lower Leg,peroneus_longus,calves,legs
Fibularis Tertius,Anterior Compartment Lower Leg,peroneus_longus,calves,legs
Flexor Carpi Radialis (1),Anterior Compartment Forearm (Superficial),flexor_carpi_radialis,,arms
Flexor Carpi Ulnaris (1),Anterior Compartment Forearm (Superficial),flexor_carpi_ulnaris,,arms
Flexor Digitorum Profundus,Anterior Compartment Forearm (Deep),flexor_carpi_radialis,,arms
